,,,1/Circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.366,0.232,0.21,2.732240437,4.310344828,4.761904762
0.766,0.63,0.583,1.305483029,1.587301587,1.715265866
0.583,0.453,0.344,1.715265866,2.207505519,2.906976744
0.479,0.389,0.428,2.087682672,2.570694087,2.336448598
0.678,0.512,0.512,1.474926254,1.953125,1.953125
0.387,0.287,0.287,2.583979328,3.484320557,3.484320557
0.596,0.438,0.438,1.677852349,2.283105023,2.283105023
0.728,0.558,0.358,1.373626374,1.792114695,2.793296089
0.524,0.295,0.795,1.908396947,3.389830508,1.257861635
0.612,0.472,0.472,1.633986928,2.118644068,2.118644068
0.452,0.395,0.305,2.212389381,2.53164557,3.278688525
0.835,0.482,0.382,1.19760479,2.074688797,2.617801047
0.518,0.336,0.335,1.930501931,2.976190476,2.985074627
0.603,0.505,0.405,1.658374793,1.98019802,2.469135802
,0.418,0.368,,2.392344498,2.717391304
,0.846,,,1.182033097,
