,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.314,0.479,0.288,3.184713376,2.087682672,3.472222222
0.857,0.393,0.567,1.166861144,2.544529262,1.76366843
0.687,0.615,0.473,1.455604076,1.62601626,2.114164905
0.529,0.725,0.553,1.890359168,1.379310345,1.808318264
0.832,0.255,0.312,1.201923077,3.921568627,3.205128205
0.446,0.512,0.616,2.242152466,1.953125,1.623376623
0.731,0.335,0.695,1.367989056,2.985074627,1.438848921
0.679,0.465,0.512,1.47275405,2.150537634,1.953125
0.742,0.398,0.339,1.347708895,2.512562814,2.949852507
0.691,0.484,0.258,1.447178003,2.066115702,3.875968992
0.815,0.572,0.499,1.226993865,1.748251748,2.004008016
,0.448,,,2.232142857,
