,,,1/Circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.342,0.198,0.259,2.923976608,5.050505051,3.861003861
0.762,0.473,0.643,1.312335958,2.114164905,1.555209953
0.513,0.353,0.381,1.949317739,2.83286119,2.624671916
0.619,0.421,0.527,1.615508885,2.375296912,1.897533207
0.674,0.312,0.312,1.483679525,3.205128205,3.205128205
0.387,0.535,0.235,2.583979328,1.869158879,4.255319149
0.558,0.293,0.393,1.792114695,3.412969283,2.544529262
0.693,0.653,0.483,1.443001443,1.531393568,2.070393375
0.489,0.238,0.338,2.044989775,4.201680672,2.958579882
0.609,0.682,0.532,1.642036125,1.46627566,1.879699248
0.471,0.309,0.309,2.123142251,3.236245955,3.236245955
0.577,0.362,0.772,1.733102253,2.762430939,1.295336788
,0.405,0.355,,2.469135802,2.816901408
