,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.381,0.336,0.171,2.624671916,2.976190476,5.847953216
0.789,0.735,0.568,1.267427123,1.360544218,1.76056338
0.653,0.524,0.522,1.531393568,1.908396947,1.915708812
0.721,0.412,0.459,1.386962552,2.427184466,2.178649237
0.812,0.319,0.472,1.231527094,3.134796238,2.118644068
0.462,0.638,0.258,2.164502165,1.567398119,3.875968992
0.835,0.565,0.638,1.19760479,1.769911504,1.567398119
0.621,0.479,0.485,1.610305958,2.087682672,2.06185567
0.749,0.597,0.312,1.335113485,1.675041876,3.205128205
0.739,0.448,0.303,1.353179973,2.232142857,3.300330033
,0.567,0.467,,1.76366843,2.141327623
,,0.258,,,3.875968992
