,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.582,0.281,0.252,1.718213058,3.558718861,3.968253968
0.672,0.632,0.593,1.488095238,1.582278481,1.686340641
0.821,0.441,0.421,1.218026797,2.267573696,2.375296912
0.642,0.51,0.479,1.557632399,1.960784314,2.087682672
0.864,0.542,0.512,1.157407407,1.84501845,1.953125
0.705,0.392,0.362,1.418439716,2.551020408,2.762430939
0.658,0.468,0.418,1.519756839,2.136752137,2.392344498
0.785,0.52,0.481,1.27388535,1.923076923,2.079002079
0.681,0.585,0.535,1.468428781,1.709401709,1.869158879
0.687,0.394,0.354,1.455604076,2.538071066,2.824858757
0.743,0.451,0.401,1.34589502,2.2172949,2.493765586
0.654,0.611,0.571,1.529051988,1.636661211,1.751313485
0.619,0.327,0.327,1.615508885,3.058103976,3.058103976
0.823,0.518,,1.215066829,1.930501931,
