,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.268,0.281,0.213,3.731343284,3.558718861,4.694835681
0.742,0.457,0.576,1.347708895,2.188183807,1.736111111
0.371,0.382,0.392,2.69541779,2.617801047,2.551020408
0.529,0.415,0.431,1.890359168,2.409638554,2.320185615
0.832,0.426,0.624,1.201923077,2.34741784,1.602564103
0.449,0.345,0.278,2.227171492,2.898550725,3.597122302
0.753,0.475,0.485,1.328021248,2.105263158,2.06185567
0.356,0.314,0.338,2.808988764,3.184713376,2.958579882
0.719,0.398,0.416,1.390820584,2.512562814,2.403846154
0.578,0.447,0.297,1.730103806,2.237136465,3.367003367
0.412,0.335,0.529,2.427184466,2.985074627,1.890359168
0.682,0.415,0.352,1.46627566,2.409638554,2.840909091
0.704,0.372,0.467,1.420454545,2.688172043,2.141327623
,0.482,0.305,,2.074688797,3.278688525
