,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.312,0.312,0.292,3.205128205,3.205128205,3.424657534
0.874,0.482,0.724,1.14416476,2.074688797,1.38121547
0.635,0.456,0.432,1.57480315,2.192982456,2.314814815
0.892,0.503,0.531,1.121076233,1.988071571,1.883239171
0.347,0.295,0.255,2.88184438,3.389830508,3.921568627
0.551,0.421,0.621,1.814882033,2.375296912,1.610305958
0.428,0.388,0.412,2.336448598,2.577319588,2.427184466
0.799,0.588,0.317,1.251564456,1.700680272,3.154574132
0.452,0.349,0.423,2.212389381,2.865329513,2.364066194
0.721,0.341,0.598,1.386962552,2.93255132,1.672240803
0.813,0.465,0.258,1.2300123,2.150537634,3.875968992
0.382,0.272,0.363,2.617801047,3.676470588,2.754820937
0.376,0.517,0.456,2.659574468,1.934235977,2.192982456
0.854,0.397,0.372,1.170960187,2.518891688,2.688172043
0.592,0.439,,1.689189189,2.277904328,
,0.333,,,3.003003003,
