,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.663,0.228,0.342,1.508295626,4.385964912,2.923976608
0.524,0.39,0.426,1.908396947,2.564102564,2.34741784
0.835,0.436,0.389,1.19760479,2.293577982,2.570694087
0.327,0.371,0.462,3.058103976,2.69541779,2.164502165
0.574,0.424,0.314,1.742160279,2.358490566,3.184713376
0.742,0.313,0.398,1.347708895,3.194888179,2.512562814
0.436,0.504,0.423,2.293577982,1.984126984,2.364066194
0.893,0.353,0.372,1.119820829,2.83286119,2.688172043
0.385,0.407,0.451,2.597402597,2.457002457,2.2172949
0.492,0.282,0.348,2.032520325,3.546099291,2.873563218
0.866,0.441,0.305,1.154734411,2.267573696,3.278688525
,0.319,0.476,,3.134796238,2.100840336
,0.466,0.411,,2.145922747,2.433090024
,0.397,0.357,,2.518891688,2.801120448
,0.423,,,2.364066194,
