,,,1/Circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.482,0.198,0.312,2.074688797,5.050505051,3.205128205
0.759,0.692,0.738,1.317523057,1.445086705,1.35501355
0.835,0.513,0.549,1.19760479,1.949317739,1.821493625
0.523,0.278,0.474,1.912045889,3.597122302,2.109704641
0.801,0.576,0.388,1.248439451,1.736111111,2.577319588
0.673,0.332,0.675,1.485884101,3.012048193,1.481481481
0.714,0.447,0.367,1.400560224,2.237136465,2.72479564
0.763,0.651,0.563,1.31061599,1.53609831,1.776198934
0.588,0.223,0.405,1.700680272,4.484304933,2.469135802
0.792,0.499,0.535,1.262626263,2.004008016,1.869158879
0.602,0.368,0.582,1.661129568,2.717391304,1.718213058
0.613,,0.643,1.63132137,,1.555209953
,,0.452,,,2.212389381
,,0.608,,,1.644736842
,,0.437,,,2.288329519
,,0.518,,,1.930501931
