,,,1/circularity,,
Control,my CAF,iCAF ,Control,my CAF,iCAF 
0.293,0.281,0.392,3.412969283,3.558718861,2.551020408
0.782,0.653,0.642,1.278772379,1.531393568,1.557632399
0.528,0.342,0.453,1.893939394,2.923976608,2.207505519
0.614,0.423,0.379,1.628664495,2.364066194,2.638522427
0.853,0.524,0.512,1.172332943,1.908396947,1.953125
0.367,0.197,0.287,2.72479564,5.076142132,3.484320557
0.643,0.392,0.438,1.555209953,2.551020408,2.283105023
0.751,0.475,0.541,1.331557923,2.105263158,1.848428835
0.478,0.223,0.295,2.092050209,4.484304933,3.389830508
0.579,0.522,0.472,1.727115717,1.915708812,2.118644068
0.616,0.285,0.395,1.623376623,3.50877193,2.53164557
,0.457,0.482,,2.188183807,2.074688797
,0.308,0.335,,3.246753247,2.985074627
,0.348,0.223,,2.873563218,4.484304933
,0.413,,,2.421307506,
