tumor,cycle entry,0,0,7.20E-04,oxygen,increases,21.5,4,0
tumor,cycle entry,0,0,7.20E-04,pressure,decreases,1,4,0
tumor,necrosis,0,2.80E-03,0.00E+00,oxygen,decreases,3.75,8,0
tumor,apoptosis,0,7.2e-5,7.2e-2,damage,increases,180,2,0
tumor,debris secretion,0,0,0.017,dead,increases,0.1,10,1
macrophage,pro-inflammatory factor secretion,0,0,10,oxygen,increases,5,4,0
macrophage,anti-inflammatory factor secretion,0,10,10,oxygen,decreases,5,4,0
CD8 T cell,attack tumor,0,.1,1,anti-inflammatory factor,decreases,0.5,8,0
CD8 T cell,attack tumor,0,.1,1,pro-inflammatory factor,increases,0.5,8,0
CD8 T cell,migration speed,0,1,1,anti-inflammatory factor,decreases,0.5,8,0
CD8 T cell,migration speed,0,1,1,contact with tumor,decreases,0.5,2,0
