avg_speed,ECM_conc,Cell_type
0.2677072431426193,2mgmL,Panc_only
0.25331065492265614,2mgmL,Panc_only
0.2647333160896419,2mgmL,Panc_only
0.3598858703337122,2mgmL,Panc_only
0.1985595854902459,2mgmL,Panc_only
0.23464159983246763,2mgmL,Panc_only
0.30471124386753057,2mgmL,Panc_only
0.18554335167315222,2mgmL,Panc_only
0.20496157123807532,2mgmL,Panc_only
0.265912853,2mgmL,Panc_only
0.2863140225505576,2mgmL,Panc_only
0.17978525080020072,2mgmL,Panc_only
0.2526706622139036,2mgmL,Panc_only
0.31063107803740164,2mgmL,Panc_only
0.25960353750753123,2mgmL,Panc_only
0.25144609720889444,2mgmL,Panc_only
0.3261425792716597,2mgmL,Panc_only
0.24574605732041763,2mgmL,Panc_only
0.26711546334606023,2mgmL,Panc_only
0.1467245345442757,2mgmL,Panc_only
0.18034323678929934,2mgmL,Panc_only
0.16618300679747017,2mgmL,Panc_only
0.13437021582785164,2mgmL,Panc_only
0.24255198472268757,2mgmL,Panc_only
0.3129375738618798,2mgmL,Panc_only
0.24592647197916281,2mgmL,Panc_only
0.26953541141072596,2mgmL,Panc_only
0.25132203207997966,2mgmL,Panc_only
0.2980658945382325,2mgmL,Panc_only
0.24554737370696583,2mgmL,Panc_only
0.2355694180694746,2mgmL,Panc_only
0.24002511130505683,2mgmL,Panc_only
0.2868678331564012,2mgmL,Panc_only
0.24191865984797803,2mgmL,Panc_only
0.2581095606731333,2mgmL,Panc_only
0.30865418401362643,2mgmL,Panc_only
0.23089819216627366,2mgmL,Panc_only
0.30805621321396087,2mgmL,Panc_only
0.23434655303949842,2mgmL,Panc_only
0.25522079407222453,2mgmL,Panc_only
0.2778124844131523,2mgmL,Panc_only
0.2924274278979356,2mgmL,Panc_only
0.20134888657266678,2mgmL,Panc_only
0.2434478517533681,2mgmL,Panc_only
0.3090213034535865,2mgmL,Panc_only
0.24457414452183962,2mgmL,Panc_only
0.27318681095038977,2mgmL,Panc_only
0.20288029014390024,2mgmL,Panc_only
0.27772851507984975,2mgmL,Panc_only
