0: 2023,2027
1: 1589,1947,1629,1353,1142,71,1518
2: 1848,188,338,1788,615,1707
3: 2025
4: 2024
5: 2026
6: 613,1136,596
1930: 1317,1118,846,1047,1256,186,719
8: 2022
9: 1428,1073,408
1929: 1861,1823,1993,1247,1304,740
11: 1524,379,1065,920,527,317,1417
12: 1856,533,688,168,1610,1602,82,1794,1203,1569
13: 387,925,1295,189,1425,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 1035,580,1016,1354,609,1989,426,648
17: 915,292,1521,673,860,1827,1191,857,1119,1831
18: 1751,1051,1415,1109,1745,1734,687,1120,1988,821
19: 449,282,482,524,946,619,364
20: 660,934,1019,1101,1714,1400
1910: 1414,659,631,684,1840,1859,785
1994: 1902,1144,144,1289,392,1817,41,1863,1422
1997: 1757,1915,1157,1360,1502,1411,1252,1288,910
24: 1878,1133,1410,1249,898,992,1885
25: 1004,536,440,1058,1236,1542,463
26: 696,147,662,1781,1449,302
27: 1027,935,624,1234
28: 905,220,1537,1401,1125,1709,1346,160
29: 1137,495,1778,1172,637,293,1181
30: 94,213,312,1132,794,812
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 40,1711,1432,1933,1052,605,982
33: 1338,633,1266,1515,818,1468
34: 1026,687,1703,647,933,1473,1760
35: 1034,97,519,1574,1297,723
1946: 1470,583,1520,134,665,1981,1175,306
37: 1787,1140,1484,634,1715
38: 688,1580,168,1569,1460,1153,713
39: 539,1600,143,1644,622,1170,718
40: 1613,1105,1711,1412,32,605,982
41: 1817,1863,578,320,686,1994,1902
42: 337,1896,1770,1409,1305,1336,1372
43: 1806,467,775,63,1691,1538
44: 672,1567,1825,1615,489,130
45: 1439,1535,115,1630,1684,1064,450
46: 1411,1331,1666,1877,208,1260,165
47: 478,238,67,1128,1862,1278,1402,939
48: 1426,2009,790,747,1035,1016
49: 157,961,1427,414,793,1462,969
1904: 1490,1277,715,1152,1802,199,1874
51: 567,667,1251,940,1608,628
52: 276,1371,280,1962,1359,1886,192
53: 258,1020,601,641,838,602
54: 1763,839,1591,1320,123,372,176
55: 191,2008,401,334,113,393,1221
56: 1279,798,808,1813,695,1960
57: 414,1784,793,1948,1165,1206
58: 1634,1240,1421,1358,1781,1478,302,1797
59: 898,992,117,576,510,1885,851
60: 630,1765,1454,1605,1029,1852,945
61: 1756,446,895,1921,1446,229,1370,1148
62: 384,1925,977,1880,1876
63: 1404,1556,1491,1538,43,775
64: 716,1609,1790,1261,1309,1253,1293,210
65: 656,1391,532,1828,1873
66: 930,216,1616,427,1038,396,1368
67: 169,759,1774,238,47,1862,1402,939,995
68: 1119,1831,781,1893,857,200,1192,1363,981
69: 1692,148,1645,247,629,1105,1711
70: 1066,475,1172,637,1189,201,1077,1853
71: 1644,622,190,1589,1,1629,2014,1518
72: 787,1128,1862,939,1620
1922: 755,869,1966,1244,357,1525,207,617
74: 805,739,691,1050,1700,1157,216,1985,1380,1038
75: 1457,424,1282,1857,240,1587,245,589,1339
76: 546,429,1973,1165,1224,1206
77: 1216,1210,183,963,587
78: 1638,877,464,1161,771,1319,1229,1541
79: 1093,1788,378,1938,542,259,1012
80: 764,1087,969,534,1427,574,1792
81: 139,1768,881,1523,96,728
82: 159,1794,1203,2006,136,783,1602,1856,12
