0: 2023
1: 1589,1947,1142,1629,71,1518
2: 1308,1848,338,188,1597,987
3: 
4: 2024
5: 
6: 613,1136,596
7: 742,942,635
8: 2022
9: 1428,1073,408
10: 486,1036,271,1743,1314,365,1939,503
11: 1524,379,1822,724,920,527,1417,317
12: 533,688,168,1856,1610,1602,1203,1569,1794
13: 387,925,1295,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1944,1072,1338
16: 580,1035,1016,609,1989,426,648
17: 1191,1002,857,915,292,673,618,1831
18: 1751,1051,1415,1745,1109,687,1120,1988,821
19: 449,282,419,482,946,619,364
20: 660,934,1019,1400,1101,1714
21: 361,403,1531,1978,893
1994: 144,1902,1144,1289,392,1817,41,1422
1997: 1915,1360,1502,1411,1252,1288,910,1157
24: 1878,1410,1249,1133,992,1885,898
25: 1004,536,440,1058,1542,463
26: 696,147,1449,662,1781,1421,302
27: 624,1027,935,1234
28: 905,220,1537,1401,160,1125,1709
29: 293,1181,495,1778,637,1172,1137
30: 1132,794,812,312,94,324,213
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,982,1432,1933,1052,1711,40
33: 1338,633,1266,1515,818,1468
34: 1026,1703,933,989,1473,1760,647,1723
35: 1034,519,97,1574,1297,723
36: 375,919,1855,1456
37: 1787,1742,1351,634
38: 533,688,1580,168,1569,713,523,1739
39: 539,1600,1644,622,718,143
40: 1613,1711,1412,1432,32,605,982
41: 1817,578,1863,686,1902,1994,320
42: 337,1896,1336,1305,1770,1409,1372,1286
43: 1806,467,775,63,1538,1691
44: 1825,672,1567,1615,489,130,734
45: 1439,1535,1630,115,1684,1064,89
46: 1411,1331,1666,1877,208,1260,165
47: 1128,1862,1278,319,478,67,238,1402,939
48: 1426,2009,790,747,1035,1016
49: 969,1427,414,793,1462,157,961
50: 1431,2019,1141,1767,151,1617,490,1526
51: 567,667,1251,862,940,1608,628
52: 276,1371,280,192,1962,1886,1359
53: 258,601,838,641,1090,602,1020
54: 1763,839,1591,1320,372,123,176
55: 1606,113,393,1221,191,1498,481,1917
56: 1960,695,1279,808,1405,1813,437
57: 414,1784,1948,1165,793,1206
58: 1634,1240,1421,1781,1478,1797,1358
59: 851,992,117,576,510,898,951
60: 630,1765,1852,1454,1605,1029
61: 1756,446,1921,1446,229,895,1370,1148
62: 1925,384,977,1880,1876
63: 1404,370,1651,1491,1556,1956,1538,43,775
64: 716,1609,1790,1261,1309,1253,210
65: 656,1335,1391,532,1828,1873
66: 1050,216,1616,930,427,1038,396,1368
67: 169,238,1774,1862,47,1402,939,995,759
68: 1893,1831,781,1119,200,1192,196,618,1363,981
69: 1105,1711,1645,247,629,1692,148
70: 1066,475,637,1389,1172,201,1189,1853,1137
71: 1644,622,190,1589,1,1629,1518
72: 787,1128,1862,939,1620
73: 1411,1331,1252,1288,910,1382,165,1907,1009
74: 805,739,691,1157,1985,1380,1038
75: 1457,424,1339,1282,1048,1587,245,1857
76: 546,429,1165,1973,1224,1206,1590
77: 1216,183,1210,963
78: 1638,877,1161,1319,771,1229,1541
79: 542,1012,378,1093,1788,867,259
80: 764,1087,969,1427,534,827,574
81: 139,1523,1768,881,96,728
82: 1203,540,1794,2006,159,127
83: 1332,606,1593,1349,1772,1392,1687,558
84: 1439,1217,1535,1343,121,923,1675
