0: 2023
1: 71,1947,1589,1142,1629,1518
2: 1308,1848,338,188,987,1597
3: 
4: 
5: 
6: 596,613
7: 742,766,1486,942,635,1061
8: 2022
9: 1428,1073,408
10: 365,1939,486,1036,271,1743,1314,503
11: 1524,527,1822,1657,379,920,1065,317,1417
12: 38,533,688,1569,168,1856,1203,1794,1610,1602,82
13: 387,925,1295,973,511,820
14: 1626,1635,1290,494,126,1728,1464,748
15: 1294,1514,1515,1944,1072,1338
16: 1016,1035,609,1989,426,580
17: 292,673,915,1002,1191,857,1831,618
18: 1751,1051,1415,1745,821,1120,1109,1988
19: 946,619,364,449,419,282,482
20: 934,1019,442,1101,1400,1714,660
21: 361,403,1531,1978,893
22: 1676,662,1696,1781,26,302,1634,58,1421
23: 195,1271,1033,1701,1118,719,876
24: 992,898,1410,1878,1133,1885,1249
25: 1004,536,440,1542,463,1058
26: 696,147,302,22,662,1781,1449,1421
27: 624,1027,935,1234
28: 1709,220,1537,905,1125,160,1346,1401
29: 495,1137,637,1853,1778,1172,1181
30: 94,324,1132,794,312,812,213,1511
31: 582,1872,138,707,325,650,912,917,1976,1413
32: 605,982,531,1432,1933,1052,40,1711
33: 1338,633,818,1515,1468,1266
34: 1703,647,1026,933,1473,989,1760,1723
35: 1034,519,1574,723,1297,97
36: 375,919,1456,1855
37: 1787,1742,1351,634
38: 12,688,1569,168,1739,1580,523,713,1031
39: 143,1600,718,539,622,1644,1170
40: 1613,1711,1412,1432,32,605,982,1727
41: 320,578,1863,1902,1144,1994,1817
42: 337,1896,1409,1305,1770,1336,1372,1286
43: 1806,775,467,370,63,1538,1956
44: 1825,1567,1615,489,130,1575
45: 1535,1064,1684,1439,1630,89
46: 1666,1331,1411,208,1877,1260
47: 478,1278,67,238,1128,1862,939,1402
48: 1426,737,609,264,2009,790,747,1016,1035
49: 157,1427,414,793,1462,969
50: 1141,1767,151,1431,2019,1617,490
51: 567,667,1251,862,1608,628,940
52: 276,280,1371,1789,1962,192,1359,1886
53: 1020,258,601,641,838
54: 1942,1763,839,1591,1320,372,176,123
55: 191,1498,1606,1221,1917,669,113,393,481
56: 437,695,1279,808,1405,1813,401,1960
57: 2004,1784,414,721,913,1165,793,1206
58: 1634,1797,22,1676,1781,1478,1421
59: 992,898,117,1885,510,576,851
60: 630,1765,1605,1454,1852,1029
61: 1921,446,1756,895,1446,229,1370,1148
62: 1880,384,977,1876,1925
63: 1404,370,1651,1491,1556,1538,1956,775,43
64: 1253,1309,1313,210,716,1609,1790,1261
65: 656,1335,1391,532,1828,1873,1451
66: 930,216,1616,1050,427,1038,396,1368
67: 759,169,238,1774,47,1862,995,1402
68: 1893,1363,1831,781,618,1119,1192,196,200,981
69: 1692,148,247,290,1645,629,1105,1711
70: 1389,1172,475,1053,201,637,1853,1189
71: 1,1589,622,1629,1644,190,1518,2014
72: 787,1128,1862,1620,939
73: 1252,1331,1411,1288,910,165,1907,1382,1009
74: 805,739,691,1157,1985,1038
75: 1457,424,1857,245,1587,589,1282,1339
76: 429,546,1973,1165,1206,1590
77: 1216,183,1210,963
78: 1638,877,1161,1319,1229,1541
79: 1788,1093,378,867,259,786,1012,542
80: 969,1087,1427,827,574,534
81: 139,1523,1768,96,1611,728,881
82: 159,540,127,2006,12,1203,1794
83: 1332,606,1349,1392,1772,1687,558,472
84: 1439,1217,1343,923,1675,121,1535
85: 1919,404,1147,1753,626,810,1468
86: 1361,842,372,107,1280,1202,1452
87: 1315,1937,1650,1540,837,714,1365
88: 1694,1278,786,2016,1073,1128,1237
89: 291,450,1630,115,316,45,1684
90: 1966,396,1244,1368,198,869,1493,736,677,1231,1525,1922
91: 1296,740,1247,711,1292,832,1989
92: 686,1902,1044,1144,1463,884,1059,1572,1811,578
93: 1717,470,1154,1652,551,921
94: 1832,30,324,312,1793,1329
95: 2001,1732,964,1669,1180,314,485,1283
96: 126,907,1464,458,310,1523,81,881
97: 1764,1553,1195,35,1034,723,1141,1030
98: 250,1502,1360,853,1682,528,1666,1252,1411,1997
99: 366,331,1355,1164,1113,552,297,1710,1829,323
100: 1682,1731,1324,825,1548,208,1877
101: 1008,733,768,1954,1995,621,1298,272,2017,389
102: 343,1222,1366,847,1406,1499,1858,1891,329
103: 880,1191,122,857,1827,243,1227,1744
104: 106,1680,1895,286,835,1387,896,1749,1046,2021,779
105: 1533,1004,440,422,1259
106: 1006,1680,1982,1895,104,274,970,1420,1387
107: 1027,935,1280,455,842,376,86,1234
108: 272,2017,389,1656,1764,1195,119,709,1374
109: 836,1520,1972,705,1397,316,1470,583,291,941
110: 547,770,1875,952,1121,543,464,497
111: 1878,843,212,564,817,1410,1232
112: 309,351,593,873,931,948,385
113: 1268,1917,669,393,55,481
114: 2018,1192,149,1741,1545,246,1469,345,645
115: 1055,1884,1630,316,306,291,89,836
116: 1610,1602,720,1926,517,424,1048,1339,397
117: 59,992,1410,1232,966,1782,576
118: 1662,1287,1056,1031,218,1070
119: 1888,1416,709,108,2017,389,1656,1374
120: 903,789,499,1901,1377,1354,1146,1489
121: 717,975,923,1675,84,1887,1535
122: 103,857,243,1883,1369,196,149
123: 1508,176,1320,1361,372,54,1763
124: 1839,849,462,1785,1671,1804
125: 772,254,411,270,1882,295,1979,1571
126: 1728,1464,96,14,494,748,458,1509
127: 159,82,136,2006,972,1996
128: 303,1828,231,1116,548,826,1107
129: 1758,1176,1564,997,541,1934
130: 1116,826,1575,1615,1567,44
131: 780,1340,1660,380,846,1129,1472
132: 1067,164,1826,975,1389,1077,1805
133: 1906,420,576,951,623,699,1782,804,425
134: 1585,341,1725,1470,1981,1946,1520,941
135: 350,1318,1909,342,361,403,1025,456
136: 1422,1817,783,2006,972,127
137: 1682,1731,528,1888,1416,1150,853
138: 1872,31,1737,763,1780,707,556
139: 1523,81,1768,870,1326,388,508
140: 1171,602,170,746,1713,1557,1833,1824
141: 876,1820,955,1636,562,1701,719,195,1271,371
142: 595,588,1649,1383,441,611,1932,501,1890,297
