0: 2023
1: 1589,1947,1629,1142,71,1518
2: 1848,188,712,338,1788,615
3: 2025
4: 2024
5: 
6: 613,1136,596
1963: 1765,279,545
8: 2022
9: 1428,1073,408
10: 1036,271,1939,1314,365
11: 1524,379,1822,724,920,527,1417,317
12: 1569,533,688,168,1856,1602,82,1794,1203
13: 387,925,189,1295,1425,855,820,511
14: 1626,1635,1290,1728,494,126,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 1354,580,1016,1035,609,1989,426,648
17: 915,292,673,1002,1191,857,618,1831
18: 1751,1051,1415,1109,1745,1734,687,1120,1988,821
19: 449,282,482,524,619,946
20: 660,934,1019,1101,1714,1400
21: 1531,403,361,893,1978
1994: 144,1902,1144,1289,392,1817,41,1422
1997: 1757,1915,1157,1502,98,1360,1411,1252,1288,910
24: 1878,1410,1133,1249,992,898,1885
25: 1004,536,440,1058,1542,463
26: 696,147,662,1449,1781,1421,302
27: 624,1027,935,1234
28: 905,220,1537,1401,160,1709,1125
29: 1137,495,1778,637,1172,293,1181
30: 1132,794,812,312,94,324,213
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,531,982,1432,1933,1052,40,1711
33: 1517,633,1266,1338,1468,1515,818
34: 1026,1703,933,989,1473,1760,647,1723
35: 1034,97,519,1574,1297,723
1946: 1470,583,1520,134,1981,665,306
37: 1787,1140,1351,1715,634
38: 1569,688,1580,168,1739,1460,713
39: 539,1600,1644,622,718,143
40: 1711,1412,1613,1432,32,605,982
41: 1817,1863,578,320,686,1994,1902
42: 337,1896,1770,1305,1409,1336,1372,1286
43: 1806,467,63,775,1691,1538
44: 1825,672,1567,489,130,1615
45: 1439,1535,1630,115,1684,1064,89,450
46: 1411,1331,1252,1666,1877,208,1260,165
47: 478,238,1278,67,1128,1862,1402,939
48: 1426,737,264,2009,790,747,1016,1035
49: 157,961,414,793,1462,969,1427
50: 1431,2019,1617,1767
51: 567,667,1251,862,1608,940,628
52: 276,1371,280,1962,450,1359,1886,192
53: 258,601,641,1090,838,1020
54: 1763,839,1320,1591,123,372,176
55: 1606,113,393,1917,1221,191,1498,481
56: 1279,798,808,1813,1960,695
57: 414,1784,1948,1165,793,1206
58: 1634,1240,1358,1421,1781,1478,302,1797
59: 851,992,117,576,898,510,951
60: 630,1765,1852,1454,1029,1605
61: 1756,446,1921,1446,229,895,1370,1148
62: 977,384,1880,1925,1876
63: 370,1651,1556,775,1491,1538,43
64: 716,1609,1261,1309,1253,210
65: 656,1335,1828,532,1873,1391
66: 216,1616,930,427,1038,396,1368
67: 169,1774,759,47,238,1862,1402,939,995
68: 1119,1831,781,1893,200,1192,196,618,1363
69: 1105,1711,1645,247,629,1692,148
70: 1066,475,637,1389,1172,1189,201,1853,1137
71: 1644,622,190,1589,1,1629,1518
72: 787,1128,1862,939,1620
73: 1331,1252,910,1009
74: 805,739,691,1157,1050,1985,1380,1038
75: 1457,424,1282,1857,1587,245,1339
76: 546,429,1165,1973,1224,1206
77: 1216,183,1210,963
78: 1638,877,464,1161,771,1319,1229,1541
79: 542,786,1012,378,1093,1788,867,259
80: 764,1087,969,534,1427,574,1792
81: 139,1768,881,96,1523,728
82: 159,540,1794,2006,1203,12
83: 1332,606,1593,558,1392,1772,646,1687
84: 1439,1217,1535,725,1343,121,1675
85: 1919,1147,1468,404,810,626
86: 1361,842,372,1452,1027,107,1202
87: 1540,1315,1937,1650,837,714,1365,791
88: 1073,786,2016,1694,1278,1128,1237
89: 291,450,1630,45,316,115,1684
90: 1966,1244,1368,198,1493,869,736,677,357,1525
91: 740,1296,1247,711,1292,832,1989,1037
92: 1059,1572,686,1811,884,1902,1044,1144,578
93: 1717,470,1652,551,921,1154
94: 1832,324,312,30,1793,1329
95: 2001,314,1180,1669,1283,485,1353,1328
96: 126,881,1464,1523,310,458,81
97: 35,1034,723,1141,1030,1553,1764
98: 250,1360,1666,528,853,1682,1997,1502,1411,1252
99: 323,1113,552,297,999,595,142,1932,1710,1829
100: 1682,1731,1324,825,1666,1877,208,1548
101: 1954,733,768,1995,1008,621,1298,389,2017
102: 1891,1858,343,847,1222,1406,1499
103: 1827,1191,122,857,1227,243,1744,880
104: 1895,106,896,835,1387,286,1749,1046,779,1680,2021
105: 219,1533,1004,440,477,1259
106: 1895,274,104,970,1420,1982,1680,1006
107: 727,1027,935,455,1452,842,86
108: 389,2017,119,709,1656,1764,1195,1374
109: 1972,1397,705,1470,583,1520,836,1841,941
110: 547,770,1875,952,1121,543,877,464,497
111: 212,564,817,1878,843,1410,1232
112: 873,351,931,309,948,1623,593,385
113: 1268,669,393,55,1917,481
114: 2018,1192,149,1741,1545,246,645,1469
115: 306,1884,316,1630,45,291,89
116: 1610,1926,1602,517,424,1048,720
117: 59,992,576,1410,1782,1232
118: 1662,218,1056,1070
119: 389,108,2017,709,1656,253,1888,1416,1374
120: 903,789,499,1377,1489,1146
121: 923,1675,1535,84,717,975,1887
122: 103,857,1883,243,880,1369,196,149,618
123: 1361,372,1508,1320,54,1763,176
124: 1804,1785,1839,849,462,1671
125: 772,411,254,295,1882,270,1571,230,1979
126: 1464,96,14,1728,494,748,966,1509,458
1945: 1350,234,949,653,1935,360,1681,1795,1254,1599,2013
128: 548,303,1828,231,1116,826
129: 1758,1176,1564,1934,541,1563,997,1551
130: 734,1615,826,44,1567,1116
131: 846,1592,380,1129,1340,780,1472
132: 1067,164,1826,975,1389,1805,1077
133: 1906,623,951,699,576,425
134: 1470,1946,1981,1568,1585,341,1725
135: 350,1318,1025,403,361,342,1909,456
136: 1422,783,1817,972,2006
137: 1682,1731,1888,1150,1416,853,694,528
138: 763,556,1737,707,325,1872
139: 388,81,1768,1523,1494,1326,870
140: 1171,746,602,170,1557,1824,1833
141: 562,876,195,1636,1271,955,1118,1820,719,371,1701
142: 595,1383,588,1932,1890,501,418,1829,99,297
143: 960,718,1600,39,1644,529,1170
144: 1994,1144,1730,1463,1289,392
145: 1288,809,910,1382,1157,1985,1380,1017,729,1907,1750
146: 1177,1115,1909,350,942,1486
147: 696,26,806,1134,1449,649,2000,302
148: 1269,1692,518,557,1623,1645,247,69
149: 2018,196,114,122,1369,1741,1545
150: 690,194,223,840,318,476,823,1648
151: 723,1141,1030,225,1297,398,1435,1617,1767
152: 175,1359,192,1104,985,994,693
153: 998,769,1496,1495,524,289,1242,946
154: 1238,957,415,1096,1975,742,1486,347,1180
1991: 937,938,502,1039,878,764,1087
156: 1815,1111,512,515,468,1168,1100
157: 703,961,49,414,1539,1427
158: 1385,1483,1100,1011,1209,568
159: 82,540,2006,926,1996
160: 28,220,1401,1346,1799,1646,1686
161: 1103,638,1769,1074,1667,1225,1390,585
162: 697,405,339,1403,1186,206
163: 1429,333,509,1670,1554,1080,1905
164: 1067,132,454,444,1826,975
165: 1021,800,46,1331,1293,1260,1009
166: 773,731,1321,241,660,934,700
167: 797,1008,621,912,866,236,1566,460
168: 1569,38,533,688,1580,1856,12,903
169: 1815,67,1111,1774,759,515,238
170: 754,1722,796,1341,1444,1557,1218,1824,140
171: 1653,1763,839,257,1704,1143,421
172: 577,1691,1690,967,940,722
2005: 301,443,906,417,782,1719,278,1837,1830
174: 1215,680,305,1208,550,288,1197,2012
175: 802,152,1359,192,332,994,693
176: 1942,1230,428,123,1508,54,1653,1763,839
2009: 589,264,875,1426,737,48,790,747
178: 249,1510,1624,1330,1081,180,1796,179
179: 1297,398,1987,252,178,1388,1081,180,1796
180: 1479,1574,1796,178,1297,179,398
181: 1675,1481,1740,1329,1343
182: 1494,226,811,262,1326,326,889,639
183: 1216,77,1210,1234,624,842,1607,376
184: 1777,763,1624,650,1872,1796,1084
185: 1964,994,399,549,1753,769,1496,404
186: 1032,719,1047,1256,1118,1930
187: 506,1601,999,1526,195,490,1614
188: 987,1848,2,774,1547,338,1597
189: 516,362,1908,13,925,1425
190: 1644,71,1712,431,2014,1518,1060,1170,1179
191: 1114,2008,1498,334,1606,393,55,1917
192: 152,175,1359,1886,1371,52,1104,985
193: 1736,1766,694,1650,1424,466,1678,356,1345
194: 1779,1357,690,223,150,823,1648,249,1330,1746,1755
195: 141,562,876,1271,1431,1033,2019,1701,1526,506,187
196: 200,2018,1192,149,618,122,857,68
197: 1188,1148,573,1801,1370,1207
198: 1966,1368,90,1493,1380,1017,1038,736
199: 447,1204,777,1152,1277,886
200: 2018,1192,196,618,1363,857,1831,781,68
201: 1053,1805,1189,1077,70,475,1389,1853
202: 1553,1656,1764,409,479,604,1374,1818,1500
203: 1549,435,1840,1414,1290,412
204: 1626,1290,919,382,346,1549
1940: 1317,1118,1139,1435,2019,1701,1767
206: 1961,900,1186,405,162,905
207: 948,617,1922,755,1193,869,949
208: 1877,1548,100,1682,1666,1411,46,1260
1968: 657,1059,1819,686,1433,614,750,578
210: 863,592,493,395,1309,1790,1261,64,1913
2017: 389,108,119,709,871,1298,101,1195
212: 111,564,1440,817,439,1348,977,843
213: 1485,324,812,30,1693,1879,1892,1092
