0: 2023
1: 1589,1947,1629,1142,71,1518
2: 987,1848,188,712,338,1788,615
3: 2025
4: 2024
5: 
6: 613,1136,596
1930: 1317,1118,846,1047,1256,186,719
8: 2022
9: 1428,1073,408
1929: 1861,1823,1993,1247,1304,740
11: 1524,379,1822,724,1065,920,527,1417,317
12: 1856,533,688,168,1610,1602,82,1794,1203,1569
13: 387,925,189,1425,1295,855,820,511
14: 1626,1635,1290,494,126,1464,1728
15: 1294,1514,1515,1919,1944,1072,1338
16: 1354,580,1016,1035,609,1989,426,648
17: 915,292,1521,673,1002,1191,857,618,1831
18: 1751,1051,1415,1109,1745,1734,687,1120,1988,1474,821
19: 449,282,482,524,946,619,433,364
20: 660,934,1019,1101,1714,1400
1910: 1414,631,659,684,1840,1859,785
1994: 144,1902,1144,1289,392,1817,41,1422
1997: 1757,1915,1157,1360,1502,1411,1252,1288,910
24: 1878,1133,1410,1249,992,898,1885
25: 1004,536,440,1058,1542,463
26: 696,147,662,1781,1449,1421,302
27: 624,1027,935,1234
28: 905,220,1537,1401,160,1709,1125
29: 1137,495,1778,637,1172,293,1181
30: 1132,794,312,324,94,812
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,982,1432,1933,1052,40,1711
33: 1338,633,1517,1515,1468,818,1266
34: 1026,1703,647,933,1473,1760,1723
35: 1034,97,519,1574,1297,723
1946: 1470,583,1520,134,665,1981,1175,306
37: 1787,1140,1484,634,1715
38: 533,688,1580,168,1460,713,1569,1739
39: 539,1600,143,1644,622,1170
40: 1613,1711,1412,32,605,982,1727
41: 1817,1863,578,686,1994,1902
42: 337,1896,1770,1305,1409,1336,1372,1286
43: 1806,467,775,1651,63,1691,1538
44: 1825,672,1567,489,130,734,1615
45: 1439,1535,115,1630,1684,1064,89,450
46: 1411,1331,1666,1877,208,1260,165
47: 478,238,67,1128,1862,1278,1402,939
48: 609,1426,737,2009,790,1016,1035,747
49: 1427,157,414,793,1462,969
1924: 385,1188,1344
51: 567,667,1251,940,862,1608,628
52: 276,1371,280,1962,450,1359,1886,192
53: 258,601,1020,641,1090,838
54: 1763,839,1320,1591,123,372,176
55: 1606,113,393,1917,1221,191,481,1498
56: 1279,798,808,1813,1960,695
57: 414,1784,1948,1165,793,1206
58: 1634,1240,1696,1421,1781,1478,302,1797,1358
59: 851,992,117,576,898,510
60: 630,1765,1454,1605,1029,1852
61: 1756,446,1921,1446,229,895,1370,1148
62: 977,1925,384,1880,1876
63: 1404,1556,1651,43,775
64: 716,1609,1261,1309,1253,210
65: 656,1391,1828,532,1873
66: 930,216,1616,1038,427,396,1368
67: 169,1774,759,238,47,1862,1402,939,995
68: 1119,1831,781,1893,200,1192,196,1363,618,981
69: 1105,1711,1645,247,629,1692,148
70: 1066,475,637,1172,1189,201,1853
71: 1644,622,190,1589,1,1629,2014,1518
72: 787,1128,1862,939,1620
1922: 755,869,1244,357,1525,207,617
74: 805,739,691,1038,1700,1157,216,1050,1985,1380
75: 1457,424,1282,1857,1565,1587,245,589,1339
76: 546,429,1165,1973,1224,1206
77: 1216,183,1210,963,587
78: 1638,877,464,1161,771,1319,1229,1541
79: 542,786,1012,378,1093,1788,867,259
80: 1087,969,534,1427,574,1792
81: 139,1768,1523,96,881,728
82: 159,1794,1203,2006,12,540
83: 1332,1593,1392,1772,1687,558,606
84: 1439,1535,725,1832,1343,181,121,1675
85: 1919,1147,404,810,626,1468
86: 1361,842,372,1452,1027,107,1202
87: 1540,1315,1937,1650,837,714,1365,791
88: 1073,786,2016,1694,1128,1237,1278
89: 291,450,45,316,115,1684,836
90: 1966,1244,1368,198,1493,869,736,677,357,1525
91: 740,1296,1247,711,1292,832,1989,1037
92: 1059,1968,1572,686,884,1902,1044,1144
93: 1717,470,1154,1652,551,921
94: 324,1832,312,30,1793,1329
95: 2001,314,1180,1669,485,1353,1283,1328
96: 126,1523,1464,310,458,881,81
97: 35,1034,723,1141,1030,1553,1764
98: 250,1360,1502,853,1682,528,208,1411,1252,1666
99: 595,142,999,1710,1829,552,297
100: 1682,1731,1324,694,825,1877,208,1548,1666
101: 1954,733,768,1995,1008,621,1298,389,2017
102: 1891,847,1222,1858
103: 1827,1191,857,1227,243,880,122
104: 1895,106,896,1387,286,1749,1046,2021,779,1680
105: 1533,1004,440,422,1259
106: 1895,274,104,970,286,1982,1680,1006
107: 727,1027,935,348,1452,455,842,86
108: 389,2017,119,709,1656,1764,1195,1374
109: 1972,1397,705,836,1470,583,1520,941,1841
110: 547,770,952,1121,543,877,464,497
111: 212,564,817,1878,843,1410,1232
112: 873,351,931,309,215,948,1623,1443,593,385
113: 1268,1606,669,393,55,1917,481
114: 645,1469,1741,2018,1192,149,1545,246
115: 306,1884,316,1630,45,1684,291,89
116: 1610,1926,1602,1048,517,424,720
117: 59,992,576,1410,1782,1232
118: 1662,1056,218,540,1070
