0: 2023,2027
1: 1589,1947,1629,1142,1353,71,1518
2: 1848,188,338,1788,615,1707
3: 2025
4: 2024
5: 2026
6: 613,1136,596
1930: 1317,1118,846,1047,1256,186,719
8: 2022
9: 1428,1073,408
1929: 1861,1823,1993,1304,1247,740
11: 1524,379,724,1065,920,527,1417,317
12: 1856,533,688,168,1610,1602,82,1794,1203,1569
13: 387,925,1295,189,1425,855,820,511
14: 1626,1635,1290,494,126,1728,1464
15: 1294,1514,1515,1919,1944,1072,1338
16: 1035,580,1016,1354,609,1989,426,648
17: 915,292,1521,673,618,860,1827,1191,857,1119,1831
18: 1751,1051,1415,1109,1745,1734,687,1120,1988,821
19: 449,282,482,524,946,619,364
20: 660,934,1019,1101,1714,1400
1910: 1414,631,659,684,1840,1859,785
1994: 1902,1144,144,1289,392,1817,41,1422
1997: 1757,1915,1360,1502,1411,1252,1288,910,1157
24: 1878,1133,1410,1249,898,992,1885
25: 1004,536,440,1058,1542,463,1300
26: 696,147,662,1781,1449,1421,302
27: 1027,935,624,1234
28: 905,220,1537,1401,1125,1709,1346,160
29: 1137,495,1778,637,1172,293,1181
30: 1132,794,312,812,94,213
1989: 1292,832,1504,1721,609,91,16,1014,426
32: 605,982,1432,1933,1052,40,1711
33: 1338,633,1266,1515,818,1468,1517
34: 1026,687,1703,647,933,1473,1760
35: 1034,97,519,1574,1297,723
1946: 1470,583,1520,134,1981,1175,306,665
37: 1787,1140,1484,634,1715
38: 688,1580,168,1569,1460,713,1739
39: 539,1600,143,1644,622,718
40: 1613,1105,1711,1412,1432,32,605,982
41: 1817,1863,578,320,686,1994,1902
42: 337,1896,1770,1409,1286,1305,1336,1372
43: 1806,467,775,63,1691,1538
44: 672,1567,1825,1615,489,130
45: 1439,1535,1630,115,1684,1064,89,450
46: 1411,1331,1666,1877,208,1260,165
47: 478,238,67,1128,1862,1278,1402,939
48: 1426,737,2009,790,747,1035,1016
49: 157,961,1427,414,793,1462,969
1904: 1490,777,715,1152,1802,1277,1874,199
51: 567,667,1251,940,1608,628
52: 276,1371,280,1962,450,1359,1886,192
53: 258,1020,601,641,838,602
54: 1763,839,1591,1320,123,372,176
55: 113,393,1917,1606,1221,191,1498
56: 1279,798,808,1813,437,695,1960
57: 414,1784,793,1948,1165,1206
58: 1634,1240,1421,1781,1696,1478,302,1797,1358
59: 898,992,117,576,510,1885,951,851,760
60: 630,1765,1454,1029,1852,1605
61: 1756,446,1921,1446,229,895,1370,1148
62: 384,1925,1880,1876,977
63: 1404,1556,1491,1651,1538,43,775
64: 716,1609,1261,1309,1253,210
65: 656,1391,1828,532,1873
66: 930,216,1616,427,1038,396,1368
67: 169,1774,759,238,47,1862,1402,995
68: 1119,1831,781,1893,857,200,1192,1363,981
69: 1692,148,1645,247,629,1105,1711
70: 1066,475,637,1172,1189,201,1853
71: 1644,622,190,1589,1,1629,2014,1518
72: 787,1128,1862,939,1620
1922: 207,617,1244,755,869,357,1525
74: 805,739,691,1700,216,1050,1157,1985,1380,1038
75: 1457,424,1282,1857,1565,1587,245,589,1048,1339
76: 546,429,1973,1165,1224,1206
77: 1216,183,1210,963,587
78: 1638,877,464,1161,771,1319,268,1229,1541
79: 1093,1788,378,1938,542,259,1012
80: 764,1087,969,534,1427,574,1792
81: 139,1768,881,1523,96,728
82: 159,1794,1203,2006,12,540
83: 1332,1593,606,1772,646,1392,1687,472,558
84: 1439,1535,1329,725,181,1675
85: 1919,1147,404,810,626,1468
86: 1361,842,372,1452,1027,107,1202
87: 714,1365,837,1540,1315,1937,1650,791
88: 1073,2016,1694,1128,1237,1278
89: 291,450,45,1630,316,115,1684
90: 1966,1244,1368,198,1493,869,736,677,357,1525
91: 740,1296,711,1247,1292,832,1989,1037
92: 1059,1572,686,1968,884,1902,1044,1144
93: 1717,921,470,1652,551
94: 324,213,1329,30,312,812,1793
95: 1732,314,1180,1669,485,1283,1095,1328
96: 126,1523,1464,310,458,81,881
97: 35,1034,723,1141,1553,1764,1030
98: 250,1360,1502,853,1682,528,208,1411,1252,1666
99: 595,142,999,501,1710,1829,552,297
100: 1682,1731,1324,694,825,1548,1877,208,1666
101: 1954,733,768,1995,1008,621,1298,389,2017
102: 1891,1222,847,1858
103: 1827,1191,122,1227,880,243,1744
104: 106,1680,1387,1895,2021,1749,1046,779
105: 1533,219,1259,477,1004,440
106: 104,1680,1006,970,1420,286,1895,1982
107: 727,1027,935,455,1452,348,842,86
108: 389,2017,1195,1656,1764,709,119,1374
109: 1972,1397,705,836,941,1470,583,1520,1841
110: 547,770,952,497,1121,543,877,464
111: 212,564,817,1878,843,1410,1232
112: 873,351,931,309,948,215,1623,1443,593
113: 1268,481,669,393,55,1917,191,1498
114: 645,1469,345,1741,2018,1192,149,1545,246
115: 306,1884,316,45,1630,291,89
116: 1610,1926,1602,1048,517,424,720
117: 59,992,576,1410,1782,1232
118: 1662,540,218,349,1070,880,1744
119: 1888,1416,709,389,108,2017,1656,253,1374
120: 903,789,499,1377,1489,1146
121: 717,923,1675,1535,1064,1887
122: 1191,103,857,1883,243,1369,200,196,149
123: 1361,372,1320,54,1763,176,1508
1893: 920,781,68,1192,1363,1310,527,981
125: 772,411,254,1185,295,1882,270,1979,1571,230
126: 1728,1464,96,14,494,966,458,748
1945: 1270,1350,949,2013,1935,360,1681,1254,1795
128: 231,303,1828,1516,826,548,1211,1107
129: 1758,1176,541,997,1934
130: 734,1116,826,1615,44,1567
131: 846,1592,380,1129,1340,780
132: 1067,164,1826,975,475,1805,1077
133: 1906,623,951,699,576,804,425
134: 1470,1946,1981,1568,1585,1725,341,941
135: 350,1318,1025,1909,1531,403,361,342,456
136: 1422,783,1817,972,2006
137: 1682,1731,528,1888,1150,1416,853,694
138: 582,1872,1737,763,707,325
139: 388,81,1768,1523,870,262,1326
140: 1171,602,170,1557,1713,746,1824,1833
141: 562,955,1271,1636,876,1118,1820,719,1033,195,1701,371
142: 595,1383,99,588,441,999,501,1649,297
143: 1600,39,1644,1170,960,718,529
144: 1730,1994,1144,1463,1289,392
145: 1288,809,1382,1017,729,1907,1750
146: 1177,1486,942,1115,350,1909
147: 696,26,649,806,1134,1449,2000
148: 1269,1692,69,1623,1645,247,557,1105
149: 2018,1192,196,122,1369,1741,1733,1545,114
150: 318,476,823,690,194,223,1648
151: 723,1141,1767,1617,225,1297,398,1435,1030
152: 802,175,1359,192,1104,693,985,994
153: 998,769,1496,524,289,1242,1495,946
154: 1238,957,415,1096,1486,1975,742,347,1180
2026: 5
